Name,Symbol,UUID,IsMinor,Semitones,Formula
min13(b5 b9),m13(b5 b9),2ee7843c-3fe2-43d5-ac7a-7a3e64915303,1,0 3 6 10 13 17 21,1 b3 b5 b7 b9 11 13
min11 maj7 b13,m11 M7 b13,8fa86e98-3e3e-4cd7-a910-38425c7cb327,1,0 3 7 10 11 14 17 20,1 b3 5 b7 7 9 11 b13
min7 maj7 #11,m7 M7 #11,75382745-a4ee-459d-bee2-c09011186923,1,0 3 7 10 11 18,1 b3 5 b7 7 #11
min maj7,m M7,9accabdf-bac0-46f1-b5af-35ae43cf91e1,1,0 3 7 11,1 b3 5 7
min maj9,m M9,3073b282-f983-4461-a4a4-106750135b4b,1,0 3 7 11 14,1 b3 5 7 9
min maj7 b9,m M7 b9,80ec4a2c-1b00-403c-a15b-0a8a9184d13e,1,0 3 7 11 13,1 b3 5 7 b9
min maj7 #11,m M7 #11,7038d87e-014f-4be3-a8af-2acd205d9c5f,1,0 3 7 11 18,1 b3 5 7 #11
min maj7 b9 #11,m M7 b9 #11,fb0a0ec1-0f9b-455b-9ecc-b760b1081ca6,1,0 3 7 11 13 18,1 b3 5 7 b9 #11
min maj7 b9 #11 b13,m M7 b9 #11 b13,d43845fe-aab4-4c19-b576-efe48182d98d,1,0 3 7 11 13 18 20,1 b3 5 7 b9 #11 b13
min maj9 #11,m M9 #11,f1dc629e-6df3-47af-8f1d-0e8733564825,1,0 3 7 11 14 18,1 b3 5 7 9 #11
min maj11,m M11,8b8cd47b-7ca9-4100-bea3-6f596e19fe39,1,0 3 7 11 14 17,1 b3 5 7 9 11
min maj11(b9),m M11(b9),8286677a-e082-4221-951f-708f4f3793b1,1,0 3 7 11 13 17,1 b3 5 7 b9 11
min maj13(#11),m M13(#11),2abaa030-a709-4592-b1f4-98b0e530433b,1,0 3 7 11 14 18 21,1 b3 5 7 9 #11 13
min maj9 #11 b13,m M9 #11 b13,368f0a71-aee5-4848-873f-d76f5d558d41,1,0 3 7 11 14 18 20,1 b3 5 7 9 #11 b13
min maj13,m M13,e7b36dfe-1e40-46be-a576-adfe34ca0f33,1,0 3 7 11 14 17 21,1 b3 5 7 9 11 13
min maj13(b9),m M13(b9),5a0f822d-0cde-4e1d-9c7f-d81da4406729,1,0 3 7 11 13 17 21,1 b3 5 7 b9 11 13
min maj11 b13,m M11 b13,072ee3de-9dfb-4c1c-accb-21a5446c1863,1,0 3 7 11 14 17 20,1 b3 5 7 9 11 b13
min maj11(b9) b13,m M11(b9) b13,a9fa77b6-d752-400b-98ab-6a8940e7e370,1,0 3 7 11 13 17 20,1 b3 5 7 b9 11 b13
7,7,70b96823-2078-4949-8060-86c62883df2d,0,0 4 7 10,1 3 5 b7
7(sus2),7(sus2),e240884a-71fc-4603-ae81-1dd0c1594e57,0,0 2 7 10,1 2 5 b7
7(sus4),7(sus4),36a55048-bc05-449f-8987-e056ed1cf975,0,0 5 7 10,1 4 5 b7
7(sus2 b5),7(sus2 b5),30d80b6e-a89d-4bd3-89ab-5ff0bd449c9d,0,0 2 6 10,1 2 b5 b7
7(sus2 b5) b9,7(sus2 b5) b9,908a7e2b-27bd-4ddf-8cd0-3d6229e2aa12,0,0 2 6 10 13,1 2 b5 b7 b9
9(b5) b9,9(b5) b9,12053a31-ee64-42cb-be76-a3e632eda58a,0,0 4 6 10 13 14,1 3 b5 b7 b9 9
9(b5) b9 b13,9(b5) b9 b13,08eaf60a-d288-4f2d-af0c-8c523bd412c5,0,0 4 6 10 13 14 20,1 3 b5 b7 b9 9 b13
7(sus2) #11,7(sus2) #11,27d4433d-470e-4977-9e56-7a63db8bbb84,0,0 2 7 10 18,1 2 5 b7 #11
7(b5),7(b5),65cf4f4e-1d12-400d-9a29-2b76e40d1373,0,0 4 6 10,1 3 b5 b7
7(b5) 11,7(b5) 11,169ebdcd-78a7-405a-8d92-db761751eaa8,0,0 4 6 10 17,1 3 b5 b7 11
7(b5) #11,7(b5) #11,95d542d0-0eb7-4079-a624-8046e3592e59,0,0 4 6 10 18,1 3 b5 b7 #11
9 13,9 13,b5b934cb-d907-415a-9882-b4c0f529819c,0,0 4 7 10 14 21,1 3 5 b7 9 13
dim7,o7,e44f834f-6039-45e1-b8e0-b95d1e71ae89,1,0 3 6 9,1 b3 b5 bb7
dim7 b9,o7 b9,0eaeee9e-fc4f-4065-924b-1cf9ac1d5f33,1,0 3 6 9 13,1 b3 b5 bb7 b9
dim9,o9,483f65a7-9109-4911-b95b-f8c8065ea93b,1,0 3 6 9 14,1 b3 b5 bb7 9
dim7 b9 #11,o7 b9 #11,efd74afc-4e9f-4763-9166-bba9438da20e,1,0 3 6 9 13 18,1 b3 b5 bb7 b9 #11
dim13(b9 #11),o13(b9 #11),75095d0c-9ccc-4ee5-9fb3-06453419e40d,1,0 3 6 9 13 18 21,1 b3 b5 bb7 b9 #11 13
dim11,o11,6de038e6-a25a-43fe-8793-186ef2a45751,1,0 3 6 9 14 17,1 b3 b5 bb7 9 11
dim7 b9 #11 b13,o7 b9 #11 b13,c2c0b87f-7748-41f3-a409-131c3e69fd3f,1,0 3 6 9 13 18 20,1 b3 b5 bb7 b9 #11 b13
dim13,o13,3aa189fd-5a51-4e9d-a81f-f955143aa61f,1,0 3 6 9 14 17 21,1 b3 b5 bb7 9 11 13
6(b5) b9 #9,6(b5) b9 #9,26303924-4f14-4c65-a548-60fad785764b,0,0 4 6 9 13 15,1 3 b5 6 b9 #9
dim11(b9),o11(b9),04800c88-642a-41df-8f48-58c6161f21fd,1,0 3 6 9 13 17,1 b3 b5 bb7 b9 11
dim13(b9),o13(b9),abc4f7bc-59c9-46fb-89e3-b80a93b6c8bc,1,0 3 6 9 13 17 21,1 b3 b5 bb7 b9 11 13
6(b5) b9 #9 b13,6(b5) b9 #9 b13,f776db43-427d-412a-b4f3-c2d610dfb553,0,0 4 6 9 13 15 20,1 3 b5 6 b9 #9 b13
dim11(b9) b13,o11(b9) b13,4f4cfa3f-37ee-4d50-a890-e0a5ab42a3a5,1,0 3 6 9 13 17 20,1 b3 b5 bb7 b9 11 b13
dim #5,o #5,4e728e3a-ac15-4323-9d43-a5416598b10c,1,0 3 6 8,1 b3 b5 #5
6,6,7429e0e8-8932-452c-b57a-6b965349e04b,0,0 4 7 9,1 3 5 6
6 #9,6 #9,6c0efb9a-7a00-4872-846a-c9cc3b76418b,0,0 4 7 9 15,1 3 5 6 #9
min6,m6,e81e1237-9ea5-4d55-9457-dd96a8faf68c,1,0 3 7 9,1 b3 5 6
min6 11,m6 11,40d7eec2-5eab-44cd-a0a8-01cb73af8f31,1,0 3 7 9 17,1 b3 5 6 11
min6 b9,m6 b9,27331497-7cf3-4250-abec-fb3912ee4c19,1,0 3 7 9 13,1 b3 5 6 b9
min6 b9 b11,m6 b9 b11,c17b6107-d9a2-491f-a345-a198e7b8d8dc,1,0 3 7 9 13 16,1 b3 5 6 b9 b11
min6 b9 b11 b13,m6 b9 b11 b13,037ad5bf-61d0-4b4d-8910-b7243db3043c,1,0 3 7 9 13 16 20,1 b3 5 6 b9 b11 b13
maj9,M9,f730d79d-17bf-4954-ae4b-169d68ca559f,0,0 4 7 11 14,1 3 5 7 9
maj9(sus4),M9(sus4),c96173fd-a4a5-4c44-bf23-5e2979480883,0,0 5 7 11 14,1 4 5 7 9
maj9(sus4) #11,M9(sus4) #11,7e43e653-b82c-48be-a536-86d0e3dd96cf,0,0 5 7 11 14 18,1 4 5 7 9 #11
maj13(sus4) #11,M13(sus4) #11,8431855a-2ca3-4314-b78e-e9095b49bbe7,0,0 5 7 11 14 18 21,1 4 5 7 9 #11 13
maj9(sus4) b7 #11,M9(sus4) b7 #11,018c5985-2c7b-4c0a-b6ed-a04be3ced973,0,0 5 7 10 11 14 18,1 4 5 b7 7 9 #11
maj add 9,M add 9,5449cb3d-a0e4-49c5-9f8c-4c7edb14d48f,0,0 4 7 14,1 3 5 9
maj add 13,M add 13,a9c6dd45-31dc-448a-b1c2-35f98817bc29,0,0 4 7 21,1 3 5 13
maj b9,M b9,213ef7cf-6bab-4f97-9c83-17c9bd2f7d25,0,0 4 7 13,1 3 5 b9
6 9,6 9,a9ffab8c-d98b-4c09-8321-5af978513057,0,0 4 7 9 14,1 3 5 6 9
min9,m9,ea321cbb-e3f9-4878-b934-c2ba0152bb56,1,0 3 7 10 14,1 b3 5 b7 9
min add 9 11,m add 9 11,b698dfa1-ba1d-470b-a741-c5788e99d310,1,0 3 7 14 17,1 b3 5 9 11
min add 9,m add 9,a64fc730-ae67-4b5d-aa6e-66d520dd73f6,1,0 3 7 14,1 b3 5 9
min(no5) add 9,m(no5) add 9,f0d6bd76-aac2-4c7d-9e9f-2c92e11d03cc,1,0 3 14,1 b3 9
min b9,m b9,b6a9450a-defe-47bd-80f7-a1098461ff67,1,0 3 7 13,1 b3 5 b9
min add 11,m add 11,c03cad04-c3fe-4172-9b4d-e3feacf95c2a,1,0 3 7 17,1 b3 5 11
min add 13,m add 13,14b25185-5901-4a51-8e72-e48e3adf3dba,1,0 3 7 21,1 b3 5 13
min #11,m #11,8aaf4a09-1d29-47f6-afdc-58507bdd4f15,1,0 3 7 18,1 b3 5 #11
min6 9,m6 9,1386f23d-9e99-484f-8289-cb73445b67d0,1,0 3 7 9 14,1 b3 5 6 9
9(b5),9(b5),c99e25a9-a1f0-4533-9784-4aff3294696e,0,0 4 6 10 14,1 3 b5 b7 9
min9(b5),m9(b5),6c32e8dc-c844-4867-9cc6-704d7de52838,1,0 3 6 10 14,1 b3 b5 b7 9
9(b5) #9,9(b5) #9,c5876a7c-32c3-4454-8cf2-e1b11a330cc0,0,0 4 6 10 14 15,1 3 b5 b7 9 #9
9(b5) #9 b13,9(b5) #9 b13,7da6e8d9-4e5a-4e4e-9fbc-09115f6417f1,0,0 4 6 10 14 15 20,1 3 b5 b7 9 #9 b13
9,9,a376f013-c97d-4df6-808a-1b8e6e76fbe5,0,0 4 7 10 14,1 3 5 b7 9
maj b9 #9,M b9 #9,fea2d904-0b89-45ee-916b-a5b3afea4f72,0,0 4 7 13 15,1 3 5 b9 #9
7 b9,7 b9,4eeb7525-3ab4-4407-942c-a462e8d4b681,0,0 4 7 10 13,1 3 5 b7 b9
11(b9) b13,11(b9) b13,ca8425b5-d4b8-4c56-871e-97c863403da1,0,0 4 7 10 13 17 20,1 3 5 b7 b9 11 b13
7 b9 b11 b13,7 b9 b11 b13,ff2c9f7c-b6a7-412d-a10b-6d02afab7e55,0,0 4 7 10 13 16 20,1 3 5 b7 b9 b11 b13
7 #9,7 #9,8ef9d3d5-d055-49dc-84e9-7e4b1d3052d1,0,0 4 7 10 15,1 3 5 b7 #9
7 #11,7 #11,429c7ea7-f55b-458d-a505-a4d9a94c3f90,0,0 4 7 10 18,1 3 5 b7 #11
7(b5) b9,7(b5) b9,2c6fbe06-8cb8-408f-a241-40f836d09415,0,0 4 6 10 13,1 3 b5 b7 b9
7(b5) #9,7(b5) #9,4d8f908d-4e0a-4954-a939-f7b7126f1047,0,0 4 6 10 15,1 3 b5 b7 #9
7(#5) b9,7(#5) b9,bad30c97-7e95-4970-b0b8-a784eca41ac6,0,0 4 8 10 13,1 3 #5 b7 b9
7(#5) #9,7(#5) #9,068c65e2-5ee5-4ad7-bbd7-2d832c5b3063,0,0 4 8 10 15,1 3 #5 b7 #9
9(#5),9(#5),c480ce90-ffcc-4a15-9f8b-6668151e91a8,0,0 4 8 10 14,1 3 #5 b7 9
9 b11,9 b11,c1cebbbe-d0d9-4a1a-90c5-ca2df489aa3c,0,0 4 7 10 14 16,1 3 5 b7 9 b11
9(#5) #11,9(#5) #11,1079709e-8e9d-4d8e-82ac-4c98aba03731,0,0 4 8 10 14 18,1 3 #5 b7 9 #11
9(#5) #11 #13,9(#5) #11 #13,dff1ab92-5f69-475e-bb89-a1c546c0e8b6,0,0 4 8 10 14 18 22,1 3 #5 b7 9 #11 #13
13(#5),13(#5),b5738bc0-0bb4-444d-b658-7dc1598af30a,0,0 4 8 10 14 17 21,1 3 #5 b7 9 11 13
13(b5),13(b5),2356f5de-1dd0-4a04-99df-40830fd76352,0,0 4 6 10 14 17 21,1 3 b5 b7 9 11 13
13(b5 b9),13(b5 b9),0be72a5c-7114-4cd6-9d86-1347dc885dde,0,0 4 6 10 13 17 21,1 3 b5 b7 b9 11 13
13(b11),13(b11),aa0fa999-701a-40b4-b874-05436793a944,0,0 4 7 10 14 16 21,1 3 5 b7 9 b11 13
13(#5 #9),13(#5 #9),7f0c4504-a004-45f7-824a-e8ce990b52b0,0,0 4 8 10 15 17 21,1 3 #5 b7 #9 11 13
13(#5 #11),13(#5 #11),5fe5041e-eb3b-4679-bca4-949cb4e1eef1,0,0 4 8 10 14 18 21,1 3 #5 b7 9 #11 13
9(sus4),9(sus4),621e1cc4-5dca-46e2-b53a-f63e963302f0,0,0 5 7 10 14,1 4 5 b7 9
7(sus4) b9,7(sus4) b9,0553d51b-bfff-4a42-ae87-be34280d92c0,0,0 5 7 10 13,1 4 5 b7 b9
min9 #11,m9 #11,2dcd528e-31e5-4d98-90c2-61d28d7f981c,1,0 3 7 10 14 18,1 b3 5 b7 9 #11
min9 b11,m9 b11,9f382d69-832e-4101-bbe1-94a01f88924d,1,0 3 7 10 14 16,1 b3 5 b7 9 b11
min9 b11 b13,m9 b11 b13,d82965bc-3622-41b3-a24d-6e104d669894,1,0 3 7 10 14 16 20,1 b3 5 b7 9 b11 b13
min9 #11 b13,m9 #11 b13,01e11ad2-63d2-433b-a9fd-16c47702676b,1,0 3 7 10 14 18 20,1 b3 5 b7 9 #11 b13
maj9 #11,M9 #11,5e7c4967-ab73-43ca-bbc6-f8288f941315,0,0 4 7 11 14 18,1 3 5 7 9 #11
maj9 #11 b13,M9 #11 b13,bd290bd1-ab72-43d0-b701-d2debd92e68e,0,0 4 7 11 14 18 20,1 3 5 7 9 #11 b13
maj9 b7 #11,M9 b7 #11,b8ec40b4-bf29-435d-81f3-5c2dae6b305f,0,0 4 7 10 11 14 18,1 3 5 b7 7 9 #11
9 #11,9 #11,8a34a587-7052-4467-a4af-52b8356920b8,0,0 4 7 10 14 18,1 3 5 b7 9 #11
9 #11 b13,9 #11 b13,1dff5412-41e5-4c53-84a6-73d3ba7dc4a1,0,0 4 7 10 14 18 20,1 3 5 b7 9 #11 b13
11,11,67e50796-54a2-489f-8eee-d6be9b7b592c,0,0 4 7 10 14 17,1 3 5 b7 9 11
11(b5),11(b5),a2829308-f04a-4050-874e-eb4895f24c90,0,0 4 6 10 14 17,1 3 b5 b7 9 11
11(#5),11(#5),31bc3c5e-64b3-42f7-994c-2198d3ac7b67,0,0 4 8 10 14 17,1 3 #5 b7 9 11
11(#5 #9),11(#5 #9),1d931892-604c-4d4d-9fd5-7493576f8374,0,0 4 8 10 15 17,1 3 #5 b7 #9 11
11(b5 b9),11(b5 b9),62404c9e-33f8-4193-8765-f144eb28a7d6,0,0 4 6 10 13 17,1 3 b5 b7 b9 11
11(b9),11(b9),e597596b-9bfa-4b30-b863-977d8880f8ce,0,0 4 7 10 13 17,1 3 5 b7 b9 11
11(b5) b13,11(b5) b13,f7046f6a-8150-4e7f-958e-db6d7b00a387,0,0 4 6 10 14 17 20,1 3 b5 b7 9 11 b13
11(b5 b9) b13,11(b5 b9) b13,88b802e9-3e43-4dea-8613-eb32052f6638,0,0 4 6 10 13 17 20,1 3 b5 b7 b9 11 b13
11(b5 b9) #13,11(b5 b9) #13,13c25cb5-d019-4220-b834-b301a31319bc,0,0 4 6 10 13 17 22,1 3 b5 b7 b9 11 #13
11 b13,11 b13,7d6efc36-6c5b-4e61-9ca0-c65d9bbf12e0,0,0 4 7 10 14 17 20,1 3 5 b7 9 11 b13
min11,m11,8832f04b-4159-421a-9457-0f8c182c4c8e,1,0 3 7 10 14 17,1 b3 5 b7 9 11
min11(b5),m11(b5),036e5bd1-c647-4050-b6f4-fa49dfe93473,1,0 3 6 10 14 17,1 b3 b5 b7 9 11
